label,precision,max_sequence_length,accuracy,f1,energy_per_example_j,energy_per_correct_j,average_latency_per_example_ms,peak_gpu_memory_mb
fp32-128,fp32,128,0.90972050457581,0.8788904373216537,0.228436036223972,0.25110573530547003,3.209974153227548,692.2392578125
fp32-96,fp32,96,0.90972050457581,0.8788904373216537,0.1659592597219617,0.1824288436802314,2.303432475340053,626.5830078125
fp32-64,fp32,64,0.9096957704674746,0.8788532368848924,0.11569788173953352,0.12718304898799151,1.5831693845661028,560.17626953125
fp32-48,fp32,48,0.9080138511006678,0.8765723009525074,0.08224222201213761,0.09057375271582697,1.143072440292114,527.02001953125
fp32-40,fp32,40,0.9045510759337126,0.8718493673828579,0.07368978783082454,0.08146559082333642,1.0254212182785485,510.45361328125
fp32-32,fp32,32,0.8945090279495425,0.8573721700163863,0.05887758376862437,0.0658211174274985,0.8241066837496963,493.89501953125
fp32-24,fp32,24,0.8530299282710858,0.7944798007747648,0.043492515579149675,0.05098591988126367,0.6247980910464623,477.34423828125
fp32-16,fp32,16,0.7310660400692555,0.5724173188092335,0.03233900800723714,0.04423541271890238,0.4675127513476733,460.80126953125
fp16-128,fp16,128,0.9097699727924808,0.8789487655959649,0.06285022446299907,0.06908364349516209,0.8773136657431385,795.1513671875
fp16-96,fp16,96,0.9097699727924808,0.8789487655959649,0.04408458831593278,0.04845685132981247,0.6299290309673872,745.66796875
fp16-64,fp16,64,0.9096957704674746,0.8788451966152314,0.02933750925806005,0.03224980285770053,0.41187771484055097,706.24560546875
fp16-48,fp16,48,0.9080138511006678,0.8765641076703509,0.02128320718314261,0.023439297932893566,0.3125992502596848,677.20654296875
fp16-40,fp16,40,0.9045510759337126,0.8718408555013119,0.018967928321007167,0.02096943868142298,0.2710954286665584,672.63623046875
fp16-32,fp16,32,0.8945090279495425,0.8573626300123741,0.015744832395437298,0.017601647276303884,0.22718886945349095,660.94873046875
fp16-24,fp16,24,0.8530051941627504,0.7944238818361063,0.014859435394525906,0.01742009954477578,0.2305004479594174,642.51904296875
fp16-16,fp16,16,0.7310165718525847,0.5723386684494082,0.012849706943588512,0.01757785998068968,0.2201998232747054,640.22216796875
