timestamp_s,power_w
0.000001,72.542
0.050154,72.924
0.100280,72.924
0.150423,72.664
0.200565,72.664
0.250697,71.221
0.300817,71.221
0.350937,71.163
0.401061,71.163
0.451234,71.342
0.501338,71.342
0.551456,71.414
0.601594,71.414
0.651810,70.781
0.701920,70.781
0.752047,70.749
0.802152,70.749
0.852267,70.776
0.902364,70.776
0.952490,71.454
1.002592,71.454
1.052708,71.206
1.102811,71.206
1.152925,71.094
1.203021,71.094
1.253136,71.187
1.303240,71.187
1.353359,72.365
1.403483,72.365
1.453598,72.841
1.503737,72.841
1.553859,72.294
1.603964,72.294
1.654082,72.245
1.704187,72.245
1.754317,72.757
