label,precision,max_sequence_length,accuracy,energy_per_example_j,energy_per_correct_j,average_latency_per_example_ms,peak_gpu_memory_mb
fp32-128,fp32,128,0.930045871559633,0.21251538024370137,0.22849989096486756,3.0098907775210897,692.2392578125
fp32-96,fp32,96,0.930045871559633,0.14690168188073494,0.15795100690505656,2.065090513764133,626.5830078125
fp32-64,fp32,64,0.930045871559633,0.10321456250669592,0.110977926640985,1.457933080273339,560.17626953125
fp32-48,fp32,48,0.930045871559633,0.0707612882732278,0.07608365397565307,1.04517114564385,527.02001953125
fp32-40,fp32,40,0.9288990825688074,0.05999630159808375,0.06458861110312226,0.9314758199544577,510.45361328125
fp32-32,fp32,32,0.911697247706422,0.04237794724998704,0.04648247798992289,0.757713469037624,493.89501953125
fp32-24,fp32,24,0.8864678899082569,0.025589918953993724,0.028867282442280113,0.5749471536696672,477.34423828125
fp32-16,fp32,16,0.8325688073394495,0.018679463637470778,0.022435939795970413,0.4165019782086439,460.80126953125
fp16-128,fp16,128,0.930045871559633,0.04736579861577435,0.05092845424532087,0.7874367041274019,795.1513671875
fp16-96,fp16,96,0.930045871559633,0.031100562981676596,0.033439816177585686,0.5712944357791783,745.66796875
fp16-64,fp16,64,0.930045871559633,0.024737554006858394,0.026598208500592503,0.4040021330258759,703.99560546875
fp16-48,fp16,48,0.930045871559633,0.018069186338016536,0.01942827433631371,0.29417801032308355,677.20654296875
fp16-40,fp16,40,0.9288990825688074,0.013286705579619515,0.014303712673368168,0.25903280618943786,672.63623046875
fp16-32,fp16,32,0.911697247706422,0.00898506880512263,0.009855320752285452,0.2171954633004885,660.94873046875
fp16-24,fp16,24,0.8876146788990825,0.008285955371763874,0.00933508150410607,0.21183863646835954,642.51904296875
fp16-16,fp16,16,0.8325688073394495,0.007460255247880515,0.008960526964396432,0.20835175344289533,640.22216796875
