timestamp_s,power_w
0.000002,71.755
0.052306,71.755
0.102444,71.755
0.152600,71.463
0.202727,71.463
0.252873,71.436
0.303003,71.436
0.353168,71.948
0.403302,71.948
0.453508,71.969
0.503644,71.969
0.553790,72.185
0.603920,72.185
0.654049,72.337
0.704169,72.337
0.754304,72.79
0.804430,72.79
0.854559,73.192
0.904678,73.192
0.954838,73.282
1.004977,73.282
1.055134,72.864
1.105259,72.864
1.155404,73.178
1.205523,73.178
1.255674,72.9
1.305808,72.9
1.355964,73.304
1.406095,73.304
1.456250,72.9
1.506390,72.9
1.556531,73.295
1.606656,73.295
1.656807,73.071
1.706934,73.071
1.757081,73.219
1.807203,73.219
1.857383,72.834
1.907506,72.834
1.957647,72.935
2.007780,72.935
2.057935,72.767
2.108079,72.767
2.158239,72.888
2.208371,72.888
2.258507,71.836
2.308628,71.836
2.358769,71.872
2.408895,71.872
2.459050,70.479
2.509182,70.479
2.559355,70.38
2.609487,70.38
