timestamp_s,power_w
0.000002,71.927
0.052344,71.927
0.102472,71.927
0.152631,71.739
0.202750,71.739
0.252885,71.726
0.302993,71.726
0.353142,72.341
0.403261,72.341
0.453448,72.315
0.503564,72.315
0.553698,72.48
0.603810,72.48
0.653932,72.538
0.704033,72.538
0.754167,72.955
0.804278,72.955
0.854457,73.332
0.904594,73.332
0.954729,73.391
1.004841,73.391
1.054978,73.103
1.105093,73.103
1.155252,73.395
1.205383,73.395
1.255558,73.297
1.305677,73.297
1.355815,73.691
1.405995,73.691
1.456134,73.058
1.506257,73.058
1.556450,73.444
1.606563,73.444
1.656711,73.372
1.706833,73.372
1.756940,73.816
1.807079,73.816
1.857234,73.363
1.907367,73.363
1.957490,73.273
2.007606,73.273
2.057730,72.106
2.107854,72.106
2.157967,72.178
2.208081,72.178
2.258198,71.279
2.308320,71.279
2.358508,71.36
2.408618,71.36
2.458759,70.834
2.508883,70.834
2.559022,70.987
2.609133,70.987
