label,precision,max_sequence_length,accuracy,f1,energy_per_example_j,energy_per_correct_j,average_latency_per_example_ms,peak_gpu_memory_mb
fp32-128,fp32,128,0.90972050457581,0.8788904373216537,0.23289375157334355,0.25600582860549975,3.235052672520155,692.2392578125
fp32-96,fp32,96,0.90972050457581,0.8788904373216537,0.16576696453504744,0.18221746536574138,2.301671793791478,626.5830078125
fp32-64,fp32,64,0.9096957704674746,0.8788532368848924,0.1141493081018168,0.1254807506064997,1.5870372465993046,560.17626953125
fp32-48,fp32,48,0.9080138511006678,0.8765723009525074,0.0823681308792108,0.09071241675373845,1.1464588944101792,527.02001953125
fp32-40,fp32,40,0.9045510759337126,0.8718493673828579,0.07353716788690673,0.08129686630575153,1.0205102682167149,510.45361328125
fp32-32,fp32,32,0.8945090279495425,0.8573721700163863,0.05936785610454503,0.06636920841439943,0.8302938290871823,493.89501953125
fp32-24,fp32,24,0.8530299282710858,0.7944798007747648,0.043523605559818636,0.05102236641102608,0.6250873089291101,477.34423828125
fp32-16,fp32,16,0.7310660400692555,0.5724173188092335,0.032302621568922135,0.04418564096598172,0.46318366378925846,460.80126953125
fp16-128,fp16,128,0.9097699727924808,0.8789487655959649,0.06326270627767944,0.0695370348215589,0.8835973714568958,795.1513671875
fp16-96,fp16,96,0.9097699727924808,0.8789487655959649,0.04406848094238333,0.04843914644392796,0.6300927385603144,745.66796875
fp16-64,fp16,64,0.9096957704674746,0.8788451966152314,0.029100324296050795,0.031989072875535866,0.4100572518671656,706.24560546875
fp16-48,fp16,48,0.9080138511006678,0.8765641076703509,0.021166010902379812,0.023310229107984415,0.31228601832782205,677.20654296875
fp16-40,fp16,40,0.9045510759337126,0.8718408555013119,0.019097741591218603,0.021112949947580548,0.2711847212714327,672.63623046875
fp16-32,fp16,32,0.8945090279495425,0.8573626300123741,0.016090199978408652,0.017987744646123648,0.2314681231510902,660.94873046875
fp16-24,fp16,24,0.8530051941627504,0.7944238818361063,0.015134700264261954,0.017742799654481712,0.23336820702474853,642.51904296875
fp16-16,fp16,16,0.7310165718525847,0.5723386684494082,0.012859028190106023,0.01759061105484644,0.2231648382139923,640.22216796875
