timestamp_s,power_w
0.000001,39.109
0.050126,41.032
0.100243,41.032
0.150440,42.613
0.200904,42.613
0.251018,53.89
0.301126,53.89
0.351274,55.464
0.401379,55.464
0.451524,56.472
0.501631,56.472
0.551740,57.822
0.601849,57.822
0.651966,58.261
0.702094,58.261
0.752562,71.901
0.802677,71.901
0.852791,73.867
0.902938,73.867
0.953052,71.318
1.003163,71.318
1.053275,71.219
1.103383,71.219
1.153493,71.359
1.203598,71.359
1.253780,71.093
1.303888,71.093
1.354005,71.34
1.404116,71.34
1.454231,71.188
1.504344,71.188
1.554457,72.066
1.604581,72.066
1.654701,71.196
1.704807,71.196
1.754934,71.633
1.805038,71.633
1.855150,72.345
1.905257,72.345
1.955559,71.151
2.005688,71.151
2.055807,71.93
2.105925,71.93
2.156037,72.573
2.206139,72.573
2.256250,72.164
2.306352,72.164
2.356462,72.942
2.406563,72.942
2.456678,72.339
2.507177,72.339
2.557306,72.933
2.607416,72.933
2.658185,71.812
2.708327,71.812
2.758449,72.143
2.808785,72.143
2.858902,72.759
2.909016,72.759
2.959135,71.537
3.009249,71.537
3.059363,72.484
3.109505,72.484
3.159641,72.925
3.209776,72.925
3.259910,72.3
3.310024,72.3
3.360141,72.902
3.410260,72.902
3.460374,72.12
3.510507,72.12
3.560631,72.67
3.610753,72.67
3.660886,71.215
3.711026,71.215
3.761148,71.544
3.811313,71.544
3.861492,72.218
3.911614,72.218
3.961751,71.128
4.011879,71.128
4.062010,71.94
4.112151,71.94
4.162298,72.372
4.212448,72.372
4.262575,71.567
4.312731,71.567
4.362841,72.287
4.412948,72.287
4.463054,71.068
4.513156,71.068
4.563273,71.179
4.613399,71.179
4.663521,70.995
4.713632,70.995
4.763745,71.229
4.813852,71.229
4.863962,71.283
4.914142,71.283
4.964264,71.287
5.014382,71.287
5.064550,71.413
5.114693,71.413
5.164812,71.422
5.214925,71.422
5.265042,71.525
5.315161,71.525
5.365274,71.673
5.415389,71.673
5.465520,71.659
5.515629,71.659
5.565747,71.462
5.615891,71.462
5.666021,71.393
5.716145,71.393
5.766368,71.614
5.816495,71.614
5.866610,71.38
