timestamp_s,power_w
0.000002,71.975
0.050137,71.975
0.100272,72.135
0.150434,72.135
0.200571,71.836
0.250994,71.836
0.301128,71.613
0.351272,71.613
0.401396,72.252
0.451531,72.252
0.501778,72.64
0.551963,72.64
0.602086,73.158
0.652202,73.158
0.702350,72.277
0.752457,72.277
0.802569,72.581
0.852685,72.581
0.902788,72.765
0.952899,72.765
1.003006,73.198
1.053113,73.198
1.103226,73.086
1.153335,73.086
1.203448,71.713
1.253545,71.713
1.303649,71.905
1.353762,71.905
1.403865,72.271
1.453979,72.271
1.504088,72.333
1.554189,72.333
1.604297,72.03
1.654399,72.03
1.704508,70.277
