timestamp_s,power_w
0.000001,41.783
0.050157,41.783
0.100332,43.869
0.150489,43.869
0.200688,45.273
0.250870,45.273
0.301092,47.005
0.351263,47.005
0.401442,48.057
0.451640,48.057
0.501831,49.489
0.552076,49.489
0.602251,64.891
0.652395,64.891
0.702628,69.12
0.752800,69.12
0.802969,71.085
0.853139,71.085
0.903314,71.215
0.953496,71.215
1.003686,70.413
1.053864,70.413
1.104033,70.782
1.154171,70.782
1.204316,69.982
1.254514,69.982
1.304713,70.805
1.354870,70.805
1.405392,69.953
1.455573,69.953
1.505781,70.836
1.555926,70.836
1.606083,69.332
1.656258,69.332
1.706487,70.724
1.756629,70.724
1.806769,69.514
1.856960,69.514
1.907139,70.838
1.957332,70.838
2.007563,69.779
2.058041,69.779
2.108217,70.937
2.158362,70.937
2.208541,69.987
2.258960,69.987
2.309138,70.959
2.359283,70.959
2.409571,69.965
2.459794,69.965
2.509969,70.754
2.560109,70.754
2.610266,69.277
2.660483,69.277
2.710651,70.723
2.760792,70.723
2.811437,69.511
2.861768,69.511
2.911940,70.874
2.962123,70.874
3.012312,69.739
3.062488,69.739
3.112650,70.897
3.162810,70.897
3.213000,69.947
3.263182,69.947
3.313349,70.797
3.363497,70.797
3.413748,69.909
3.463937,69.909
3.514103,70.782
3.564248,70.782
3.614424,69.327
3.664657,69.327
3.714829,70.696
3.764974,70.696
3.815251,69.385
3.865423,69.385
3.915599,70.808
3.965775,70.808
4.015973,69.616
4.066148,69.616
4.116330,70.808
4.166937,70.808
4.217184,69.821
4.267360,69.821
4.317534,70.677
4.368157,70.677
4.418335,69.611
4.468508,69.611
4.518688,70.476
4.568871,70.476
4.619099,69.415
4.669277,69.415
4.719444,70.756
4.769645,70.756
4.819811,69.636
4.869981,69.636
4.920145,70.915
4.970354,70.915
5.020519,69.786
5.070709,69.786
5.120844,71.018
5.170980,71.018
5.221169,69.831
5.271346,69.831
5.321487,70.709
5.371648,70.709
5.421847,69.727
5.471978,69.727
5.522143,70.803
5.572320,70.803
5.622600,69.605
5.672760,69.605
5.722899,70.693
5.773104,70.693
5.823250,69.603
5.873404,69.603
5.923557,70.863
5.973709,70.863
6.023909,69.89
6.074074,69.89
6.124239,70.92
6.174412,70.92
6.224564,69.697
6.274743,69.697
6.325012,70.841
6.375181,70.841
6.425327,69.896
6.475470,69.896
6.525643,70.918
6.575795,70.918
6.625932,69.585
6.676075,69.585
6.726209,70.747
6.776367,70.747
6.826512,69.731
6.876670,69.731
6.926839,71.077
6.977005,71.077
7.027162,69.874
7.077324,69.874
7.127509,70.915
7.177709,70.915
7.227875,69.825
7.278046,69.825
7.328388,71.053
7.378730,71.053
7.428945,69.958
7.479104,69.958
7.529389,70.903
7.579586,70.903
7.629845,69.644
7.679994,69.644
7.730151,70.932
7.780292,70.932
7.830446,69.761
7.880597,69.761
7.930783,70.895
7.980928,70.895
8.031084,69.72
8.081239,69.72
8.131461,70.935
8.181663,70.935
8.231813,69.85
8.281960,69.85
8.332113,71.012
8.382309,71.012
8.432466,69.99
8.482645,69.99
8.532806,70.986
8.582948,70.986
8.633111,69.549
8.683283,69.549
8.733434,70.846
8.783677,70.846
8.833836,69.668
8.883978,69.668
8.934123,70.965
8.984293,70.965
9.034447,69.795
9.084744,69.795
9.134938,70.989
9.185143,70.989
9.235299,69.922
9.285462,69.922
9.335638,71.057
9.385791,71.057
9.435951,69.931
9.486068,69.931
9.536218,70.768
9.586363,70.768
9.636523,69.476
9.687094,69.476
9.737233,70.845
9.787389,70.845
9.837547,69.579
9.887693,70.814
9.938082,70.814
9.988262,69.577
10.038435,69.577
10.088631,70.711
10.138792,70.711
10.188951,69.622
10.239082,69.622
10.289236,70.756
10.339383,70.756
10.389535,69.637
10.439683,69.637
10.489834,70.628
10.540065,70.628
10.590224,69.398
10.640393,69.398
10.690536,70.663
10.740755,70.663
10.790901,69.649
10.841066,69.649
10.891227,70.914
10.941390,70.914
10.991542,69.902
11.041697,69.902
11.091847,71.058
11.142082,71.058
11.192237,70.17
11.242372,70.17
11.292517,71.147
11.342672,71.147
11.392827,70.004
11.442981,70.004
11.493118,70.994
11.543277,70.994
11.593421,69.778
11.643574,69.778
11.693807,71.097
11.743944,71.097
11.794112,69.999
11.844389,69.999
11.894542,71.109
11.944713,71.109
11.994876,70.002
12.045228,70.002
12.095486,71.114
12.145675,71.114
12.195827,70.084
12.246178,70.084
12.296315,70.998
