timestamp_s,power_w
0.000003,44.925
0.050139,47.297
0.100278,47.297
0.150407,49.143
0.200568,49.143
0.250745,51.001
0.300911,51.001
0.351037,52.298
0.401181,52.298
0.451307,53.708
0.501455,53.708
0.551588,68.256
0.601740,68.256
0.651920,69.915
0.702064,69.915
0.752201,73.548
0.802332,73.548
0.852470,72.212
0.902613,72.212
0.952743,72.18
1.002908,72.18
1.053042,71.868
1.103193,71.868
1.153313,72.044
1.203439,72.044
1.253564,71.963
1.303696,71.963
1.353972,71.941
1.404108,71.941
1.454240,71.707
1.504371,71.707
1.554505,71.441
1.604630,71.441
1.654779,71.419
1.704935,71.419
1.755077,71.608
1.805263,71.608
1.855394,71.077
1.905516,71.077
1.955676,71.465
2.005803,71.465
2.055925,71.01
2.106053,71.01
2.156190,71.474
2.206361,71.474
2.256544,70.96
2.306774,70.96
2.356925,71.392
2.407064,71.392
2.457199,70.671
2.507331,70.671
2.557467,71.288
2.607646,71.288
2.657776,70.748
2.708132,70.748
2.758282,71.527
2.808421,71.527
2.858552,70.739
2.908682,70.739
2.958862,71.518
3.008998,71.518
3.059131,70.995
3.109261,70.995
3.159397,71.585
3.209534,71.585
3.259672,71.01
3.309874,71.01
3.360011,71.429
3.410158,71.429
3.460297,70.461
3.510440,70.461
3.560569,70.997
3.610724,70.997
3.660904,70.398
3.711051,70.398
3.761250,71.19
3.811388,71.19
3.861533,70.591
3.911783,70.591
3.961954,71.519
4.012094,71.519
4.062357,70.906
4.112585,70.906
4.162743,71.46
4.212938,71.46
4.263114,70.831
4.313265,70.831
4.363445,71.374
4.413598,71.374
4.463794,70.478
4.513942,70.478
4.564153,71.284
4.614338,71.284
4.664534,70.68
4.714692,70.68
4.764849,71.234
4.814998,71.234
4.865167,70.568
4.915377,70.568
4.965530,71.212
5.015675,71.212
5.065849,70.536
5.116055,70.536
5.166205,71.126
5.216354,71.126
5.266504,70.478
5.316690,70.478
5.366857,70.865
5.417015,70.865
5.467173,70.001
5.517359,70.001
5.567534,70.933
5.617699,70.933
5.667865,70.346
5.718053,70.346
5.768239,71.136
5.818387,71.136
5.868538,70.627
5.918682,70.627
5.968827,71.312
6.018974,71.312
6.069109,70.601
6.119244,70.601
6.169412,71.2
6.219580,71.2
6.269742,70.664
6.319943,70.664
6.370109,71.321
6.420269,71.321
6.470413,70.734
6.520602,70.734
6.570808,71.72
6.621014,71.72
6.671180,71.107
6.721375,71.107
6.771571,71.968
6.821801,71.968
6.871997,71.247
6.922142,71.247
6.972293,71.819
7.022500,71.819
7.072654,71.242
7.122796,71.242
7.172964,71.922
7.223264,71.922
7.273601,71.323
7.323772,71.323
7.373934,71.827
7.424106,71.827
7.474263,71.129
7.524467,71.129
7.574641,71.922
7.624798,71.922
7.674993,71.616
7.725178,71.616
7.775331,72.28
7.825597,72.28
7.875817,71.474
7.926002,71.474
7.976178,72.253
8.026338,72.253
8.076484,71.69
8.126625,71.69
8.176797,72.298
8.226994,72.298
8.277138,71.793
8.327279,71.793
8.377439,72.221
8.427615,72.221
8.477817,72.068
8.527959,72.068
8.578121,72.676
8.628279,72.676
8.678464,72.518
8.728620,72.518
8.778794,72.779
8.828983,72.779
8.879156,71.995
8.929306,71.995
8.979478,72.733
9.029632,72.733
9.079797,71.963
9.129957,71.963
9.180117,72.544
9.230250,72.544
9.280415,71.882
9.330559,71.882
9.380734,72.229
9.430923,72.229
9.481075,71.697
9.531236,71.697
9.581387,71.855
9.631526,71.855
9.681703,71.273
9.731863,71.273
9.782018,71.423
9.832158,71.423
9.882327,70.631
9.932478,70.631
9.982639,71.428
10.032837,71.428
10.083018,70.658
10.133181,70.658
10.183332,71.428
10.233493,71.428
10.283685,70.779
10.333852,70.779
10.384016,71.306
10.434263,71.306
10.484422,70.716
10.534581,70.716
10.584750,71.482
10.634962,71.482
10.685122,71.545
10.735298,71.545
10.785476,72.279
10.835629,72.279
10.885795,71.743
10.935964,71.743
10.986294,72.597
11.036520,72.597
11.086730,71.836
11.136900,71.836
11.187050,72.615
11.237299,72.615
11.287454,71.917
11.337612,71.917
11.387790,72.58
11.438014,72.58
11.488164,71.959
11.538326,71.959
11.588484,72.746
11.638657,72.746
11.688817,71.877
11.738992,71.877
11.789156,71.796
11.839305,71.796
11.889466,71.116
11.939618,71.116
11.989780,71.688
12.039995,71.688
12.090125,70.828
12.140285,70.828
12.190439,71.517
12.240702,71.517
12.290864,70.648
12.341008,70.648
12.391169,71.355
12.441349,71.355
12.491531,70.648
12.541695,70.648
12.591872,71.395
12.642063,71.395
12.692254,70.661
12.742427,70.661
12.792593,71.368
12.842746,71.368
12.892939,71.125
12.943093,71.125
12.993257,71.823
13.043421,71.823
13.093572,71.089
13.143728,71.089
13.193966,71.882
13.244150,71.882
13.294317,71.194
13.344556,71.194
13.394790,71.972
13.444969,71.972
13.495127,71.175
13.545362,71.175
13.595549,71.878
13.645730,71.878
13.695913,71.262
13.746331,71.262
13.796540,71.969
13.846704,71.969
13.896894,71.519
13.947151,71.519
13.997328,71.789
14.047503,71.789
14.097656,70.986
14.147838,70.986
14.198022,71.743
14.248200,71.743
14.298353,71.005
14.348548,71.005
14.398733,71.748
14.448943,71.748
14.499096,71.023
14.549283,71.023
14.599470,71.829
14.649668,71.829
14.699830,71.239
14.750016,71.239
14.800194,71.946
14.850336,71.946
14.900491,71.545
14.950683,71.545
15.000854,72.152
15.051037,72.152
15.101206,71.562
15.151387,71.562
15.201569,72.428
15.251777,72.428
15.301938,71.608
15.352111,71.608
15.402325,72.314
15.452486,72.314
15.502644,71.611
15.552829,71.611
15.603076,72.327
15.653270,72.327
15.703448,71.809
15.753631,71.809
15.803813,72.471
15.853968,72.471
15.904122,72.039
15.954372,72.039
16.004548,72.449
16.054701,72.449
16.104905,71.773
16.155189,71.773
16.205370,72.458
16.255520,72.458
16.305711,71.526
16.355936,71.526
16.406079,72.251
16.456232,72.251
16.506427,71.575
16.556602,71.575
16.606802,72.341
16.656977,72.341
16.707161,72.31
16.757417,72.31
16.807666,72.346
16.857804,72.346
16.907984,72.22
16.958136,72.22
17.008317,71.594
17.058519,71.594
17.108701,71.63
17.158858,71.63
17.209039,71.567
17.259247,71.567
17.309416,71.616
17.359556,71.616
17.409745,71.769
17.459987,71.769
17.510134,72.367
17.560294,72.367
17.610471,72.319
17.660703,72.319
17.710886,72.306
17.761046,72.306
17.811252,71.738
17.861404,71.738
17.911586,72.224
17.961795,72.224
18.011980,71.936
18.062132,71.936
18.112314,72.869
18.162468,72.869
18.212710,72.509
18.262877,72.509
18.313030,73.265
18.363211,73.265
18.413393,72.684
18.463563,72.684
18.513699,73.4
18.563843,73.4
18.614042,72.69
18.664221,72.69
18.714357,72.987
18.764509,72.987
18.814703,73.032
18.864882,73.032
18.915087,73.379
18.965223,73.379
19.015363,73.042
19.065584,73.042
19.115816,72.541
19.165958,72.541
19.216101,72.577
19.266276,72.577
19.316462,72.284
19.366652,72.284
19.416808,72.338
19.467038,72.338
19.517229,72.437
19.567373,72.437
19.617521,72.41
19.667781,72.41
19.718009,72.775
19.768146,72.856
19.818289,72.856
19.868494,72.856
19.918625,72.149
19.968789,72.149
20.018936,72.428
20.069112,72.261
20.119328,72.261
20.169472,73.022
20.219610,73.022
20.269786,72.91
20.319974,72.91
20.370140,72.928
20.420313,72.928
20.470469,72.753
20.520629,72.753
20.570818,72.24
20.620992,72.24
20.671163,72.177
20.721305,72.177
20.771499,72.329
20.821785,72.329
20.871973,71.924
20.922121,71.924
20.972263,72.401
21.022447,72.401
21.072644,71.46
21.122798,71.46
21.172944,71.604
21.223184,71.604
21.273579,71.42
21.323810,71.42
21.373999,71.645
21.424175,71.645
21.474714,72.235
21.524900,72.235
21.575100,72.163
21.625273,72.163
21.675441,72.879
21.725661,72.879
21.775835,72.238
21.825994,72.238
21.876152,72.247
21.926333,72.247
21.976524,72.541
22.026705,72.541
22.076886,72.603
22.127058,72.603
22.177249,73.545
22.227463,73.545
22.277602,72.939
22.327827,72.939
22.378056,73.494
22.428244,73.494
22.478386,73.08
22.528534,73.08
22.578696,73.183
22.628960,73.183
22.679134,72.985
22.729291,72.985
22.779471,73.192
22.829685,73.192
22.879872,73.585
22.930057,73.585
22.980225,73.747
23.030471,73.747
23.080648,73.44
23.130847,73.44
23.181001,73.512
23.231286,73.512
23.281640,73.494
23.331831,73.494
23.382006,73.422
23.432188,73.422
23.482391,73.327
23.532572,73.327
23.582841,72.913
23.633036,72.913
23.683417,72.81
23.733678,72.81
23.783856,73.088
23.834020,73.088
23.884204,73.062
23.934398,73.062
23.984583,72.693
24.034823,72.693
24.085003,72.67
24.135183,72.67
24.185426,72.689
24.235578,72.689
24.285820,72.707
24.336036,72.707
24.386212,72.635
24.436394,72.635
24.486557,72.735
24.536739,72.735
24.586963,72.654
24.637123,72.654
24.687313,72.663
24.737467,72.663
24.787850,72.564
24.838041,72.564
24.888311,72.582
24.938486,72.582
24.988634,71.938
25.038801,71.938
25.088980,72.528
25.139161,72.528
25.189307,71.789
25.239471,71.789
25.289664,72.176
25.339835,72.176
25.390021,72.086
25.440202,72.086
25.490368,71.78
25.540529,71.78
25.590676,72.298
25.640869,72.298
25.691022,71.442
25.741192,71.442
25.791337,72.229
25.841491,72.229
25.891623,72.265
25.941782,72.265
25.991924,72.337
26.042066,72.337
26.092232,72.99
26.142382,72.99
26.192515,72.382
26.242671,72.382
26.292871,72.981
26.343014,72.981
26.393155,72.383
26.443337,72.383
26.493523,72.509
26.543696,72.509
26.593863,72.833
26.644014,72.833
26.694161,72.197
26.744318,72.197
26.794464,73.111
26.844612,73.111
26.894745,72.926
26.944903,72.926
26.995035,72.765
27.045159,72.765
27.095294,72.5
27.145417,72.5
27.195575,71.685
